ItemId,ItemName,TargetClass,SlotType,IconName,CraftLevel,Grade,Attack,Defense,Health,Description
1251,궁수 방어구 1,Marksman,Body,Equipment1_26,10,Common,0,2,30,
1221,궁수 장갑 1,Marksman,Hands,Equipment1_27,10,Common,1,0,0,
1261,궁수 하의 1,Marksman,Legs,Equipment1_28,10,Common,0,1,20,
1231,궁수 장신구 1,Marksman,Accessory,Equipment1_29,10,Common,2,0,10,
1311,탱커 무기 1,Tank,Weapon,Equipment1_30,10,Common,4,0,0,
1341,탱커 투구 1,Tank,Head,Equipment1_31,10,Common,0,1,15,
1351,탱커 방어구 1,Tank,Body,Equipment1_32,10,Common,0,2,30,
1321,탱커 장갑 1,Tank,Hands,Equipment1_33,10,Common,1,0,0,
1361,탱커 하의 1,Tank,Legs,Equipment1_34,10,Common,0,1,20,
1331,탱커 장신구 1,Tank,Accessory,Equipment1_35,10,Common,2,0,10,
1412,마법사 무기 2,Mage,Weapon,Equipment 2_0,20,Common,6,0,0,
1442,마법사 투구 2,Mage,Head,Equipment2_1,20,Common,0,2,25,
1452,마법사 방어구 2,Mage,Body,Equipment2_2,20,Common,0,3,45,
1422,마법사 장갑 2,Mage,Hands,Equipment2_3,20,Common,2,0,0,
1462,마법사 하의 2,Mage,Legs,Equipment2_4,20,Common,0,2,30,
1432,마법사 장신구 2,Mage,Accessory,Equipment2_5,20,Common,3,0,15,
1112,전사 무기 2,Warrior,Weapon,Equipment2_6,20,Common,6,0,0,
1142,전사 투구 2,Warrior,Head,Equipment2_7,20,Common,0,2,25,
1152,전사 방어구 2,Warrior,Body,Equipment2_8,20,Common,0,3,45,
1122,전사 장갑 2,Warrior,Hands,Equipment2_9,20,Common,2,0,0,
1162,전사 하의 2,Warrior,Legs,Equipment2_10,20,Common,0,2,30,
1132,전사 장신구 2,Warrior,Accessory,Equipment2_11,20,Common,3,0,15,
1612,도적 무기 2,Rogue,Weapon,Equipment2_12,20,Common,6,0,0,
1642,도적 투구 2,Rogue,Head,Equipment2_13,20,Common,0,2,25,
1652,도적 방어구 2,Rogue,Body,Equipment2_14,20,Common,0,3,45,
1622,도적 장갑 2,Rogue,Hands,Equipment2_15,20,Common,2,0,0,
1662,도적 하의 2,Rogue,Legs,Equipment2_16,20,Common,0,2,30,
1632,도적 장신구 2,Rogue,Accessory,Equipment2_17,20,Common,3,0,15,
1512,힐러 무기 2,Support,Weapon,Equipment2_18,20,Common,6,0,0,
1542,힐러 투구 2,Support,Head,Equipment2_19,20,Common,0,2,25,
1552,힐러 방어구 2,Support,Body,Equipment2_20,20,Common,0,3,45,
1522,힐러 장갑 2,Support,Hands,Equipment2_21,20,Common,2,0,0,
1562,힐러 하의 2,Support,Legs,Equipment2_22,20,Common,0,2,30,
1532,힐러 장신구 2,Support,Accessory,Equipment2_23,20,Common,3,0,15,
1212,궁수 무기 2,Marksman,Weapon,Equipment2_24,20,Common,6,0,0,
1242,궁수 투구 2,Marksman,Head,Equipment2_25,20,Common,0,2,25,
1252,궁수 방어구 2,Marksman,Body,Equipment2_26,20,Common,0,3,45,
1222,궁수 장갑 2,Marksman,Hands,Equipment2_27,20,Common,2,0,0,
1262,궁수 하의 2,Marksman,Legs,Equipment2_28,20,Common,0,2,30,
1232,궁수 장신구 2,Marksman,Accessory,Equipment2_29,20,Common,3,0,15,
1312,탱커 무기 2,Tank,Weapon,Equipment2_30,20,Common,6,0,0,
1342,탱커 투구 2,Tank,Head,Equipment2_31,20,Common,0,2,25,
1352,탱커 방어구 2,Tank,Body,Equipment2_32,20,Common,0,3,45,
1322,탱커 장갑 2,Tank,Hands,Equipment2_33,20,Common,2,0,0,
1362,탱커 하의 2,Tank,Legs,Equipment2_34,20,Common,0,2,30,
1332,탱커 장신구 2,Tank,Accessory,Equipment2_35,20,Common,3,0,15,
1413,마법사 무기 3,Mage,Weapon,Equipment3_0,30,Common,8,0,0,
1443,마법사 투구 3,Mage,Head,Equipment3_1,30,Common,0,3,35,
1453,마법사 방어구 3,Mage,Body,Equipment3_2,30,Common,0,4,60,
1423,마법사 장갑 3,Mage,Hands,Equipment3_3,30,Common,3,0,0,
1463,마법사 하의 3,Mage,Legs,Equipment3_4,30,Common,0,3,40,
1433,마법사 장신구 3,Mage,Accessory,Equipment3_5,30,Common,4,0,20,
1113,전사 무기 3,Warrior,Weapon,Equipment3_6,30,Common,8,0,0,
1143,전사 투구 3,Warrior,Head,Equipment3_7,30,Common,0,3,35,
1153,전사 방어구 3,Warrior,Body,Equipment3_8,30,Common,0,4,60,
1123,전사 장갑 3,Warrior,Hands,Equipment3_9,30,Common,3,0,0,
1163,전사 하의 3,Warrior,Legs,Equipment3_10,30,Common,0,3,40,
1133,전사 장신구 3,Warrior,Accessory,Equipment3_11,30,Common,4,0,20,
1613,도적 무기 3,Rogue,Weapon,Equipment3_12,30,Common,8,0,0,
1643,도적 투구 3,Rogue,Head,Equipment3_13,30,Common,0,3,35,
1653,도적 방어구 3,Rogue,Body,Equipment3_14,30,Common,0,4,60,
1623,도적 장갑 3,Rogue,Hands,Equipment3_15,30,Common,3,0,0,
1663,도적 하의 3,Rogue,Legs,Equipment3_16,30,Common,0,3,40,
1633,도적 장신구 3,Rogue,Accessory,Equipment3_17,30,Common,4,0,20,
1513,힐러 무기 3,Support,Weapon,Equipment3_18,30,Common,8,0,0,
1543,힐러 투구 3,Support,Head,Equipment3_19,30,Common,0,3,35,
1553,힐러 방어구 3,Support,Body,Equipment3_20,30,Common,0,4,60,
1523,힐러 장갑 3,Support,Hands,Equipment3_21,30,Common,3,0,0,
1563,힐러 하의 3,Support,Legs,Equipment3_22,30,Common,0,3,40,
1533,힐러 장신구 3,Support,Accessory,Equipment3_23,30,Common,4,0,20,
1213,궁수 무기 3,Marksman,Weapon,Equipment3_24,30,Common,8,0,0,
1243,궁수 투구 3,Marksman,Head,Equipment3_25,30,Common,0,3,35,
1253,궁수 방어구 3,Marksman,Body,Equipment3_26,30,Common,0,4,60,
1223,궁수 장갑 3,Marksman,Hands,Equipment3_27,30,Common,3,0,0,
1263,궁수 하의 3,Marksman,Legs,Equipment3_28,30,Common,0,3,40,
1233,궁수 장신구 3,Marksman,Accessory,Equipment3_29,30,Common,4,0,20,
1313,탱커 무기 3,Tank,Weapon,Equipment3_30,30,Common,8,0,0,
1343,탱커 투구 3,Tank,Head,Equipment3_31,30,Common,0,3,35,
1353,탱커 방어구 3,Tank,Body,Equipment3_32,30,Common,0,4,60,
1323,탱커 장갑 3,Tank,Hands,Equipment3_33,30,Common,3,0,0,
1363,탱커 하의 3,Tank,Legs,Equipment3_34,30,Common,0,3,40,
1333,탱커 장신구 3,Tank,Accessory,Equipment3_35,30,Common,4,0,20,
1414,마법사 무기 4,Mage,Weapon,Equipment4_0,40,Common,10,0,0,
1444,마법사 투구 4,Mage,Head,Equipment4_1,40,Common,0,4,45,
1454,마법사 방어구 4,Mage,Body,Equipment4_2,40,Common,0,5,75,
1424,마법사 장갑 4,Mage,Hands,Equipment4_3,40,Common,4,0,0,
1464,마법사 하의 4,Mage,Legs,Equipment4_4,40,Common,0,4,50,
1434,마법사 장신구 4,Mage,Accessory,Equipment4_5,40,Common,5,0,25,
1114,전사 무기 4,Warrior,Weapon,Equipment4_6,40,Common,10,0,0,
1144,전사 투구 4,Warrior,Head,Equipment4_7,40,Common,0,4,45,
1154,전사 방어구 4,Warrior,Body,Equipment4_8,40,Common,0,5,75,
1124,전사 장갑 4,Warrior,Hands,Equipment4_9,40,Common,4,0,0,
1164,전사 하의 4,Warrior,Legs,Equipment4_10,40,Common,0,4,50,
1134,전사 장신구 4,Warrior,Accessory,Equipment4_11,40,Common,5,0,25,
1614,도적 무기 4,Rogue,Weapon,Equipment4_12,40,Common,10,0,0,
1644,도적 투구 4,Rogue,Head,Equipment4_13,40,Common,0,4,45,
1654,도적 방어구 4,Rogue,Body,Equipment4_14,40,Common,0,5,75,
1624,도적 장갑 4,Rogue,Hands,Equipment4_15,40,Common,4,0,0,
1664,도적 하의 4,Rogue,Legs,Equipment4_16,40,Common,0,4,50,
1634,도적 장신구 4,Rogue,Accessory,Equipment4_17,40,Common,5,0,25,
1514,힐러 무기 4,Support,Weapon,Equipment4_18,40,Common,10,0,0,
1544,힐러 투구 4,Support,Head,Equipment4_19,40,Common,0,4,45,
1554,힐러 방어구 4,Support,Body,Equipment4_20,40,Common,0,5,75,
1524,힐러 장갑 4,Support,Hands,Equipment4_21,40,Common,4,0,0,
1564,힐러 하의 4,Support,Legs,Equipment4_22,40,Common,0,4,50,
1534,힐러 장신구 4,Support,Accessory,Equipment4_23,40,Common,5,0,25,
1214,궁수 무기 4,Marksman,Weapon,Equipment4_24,40,Common,10,0,0,
1244,궁수 투구 4,Marksman,Head,Equipment4_25,40,Common,0,4,45,
1254,궁수 방어구 4,Marksman,Body,Equipment4_26,40,Common,0,5,75,
1224,궁수 장갑 4,Marksman,Hands,Equipment4_27,40,Common,4,0,0,
1264,궁수 하의 4,Marksman,Legs,Equipment4_28,40,Common,0,4,50,
1234,궁수 장신구 4,Marksman,Accessory,Equipment4_29,40,Common,5,0,25,
1314,탱커 무기 4,Tank,Weapon,Equipment4_30,40,Common,10,0,0,
1344,탱커 투구 4,Tank,Head,Equipment4_31,40,Common,0,4,45,
1354,탱커 방어구 4,Tank,Body,Equipment4_32,40,Common,0,5,75,
1324,탱커 장갑 4,Tank,Hands,Equipment4_33,40,Common,4,0,0,
1364,탱커 하의 4,Tank,Legs,Equipment4_34,40,Common,0,4,50,
1334,탱커 장신구 4,Tank,Accessory,Equipment4_35,40,Common,5,0,25,
